fact
fish(1,1,1).
fish(3000,600,5).
fish(2000,400,5).
fish(4500,900,5).
fish(10125,2025,5).
fish(2430,486,5).
fish(1080,216,5).
fish(480,96,5).
fish(320,64,5).
fish(720,144,5).
fish(1620,324,5).
fish(3645,729,5).
fish(10935,3645,3).
fish(4860,1620,3).
fish(2160,720,3).
fish(960,320,3).
fish(1440,480,3).
fish(3240,1080,3).
fish(7290,2430,3).
fish(30375,10125,3).
fish(13500,4500,3).
fish(6000,2000,3).
fish(9000,3000,3).
fish(20250,6750,3).
fish(84375,28125,3).
fish(37500,12500,3).
fish(56250,18750,3).
fish(93750,31250,3).
fish(33750,11250,3).
fish(15000,5000,3).
fish(22500,7500,3).
fish(50625,16875,3).
fish(12150,4050,3).
fish(5400,1800,3).
fish(2400,800,3).
fish(3600,1200,3).
fish(8100,2700,3).
fish(18225,6075,3).
fish(4374,1458,3).
fish(1944,648,3).
fish(864,288,3).
fish(384,128,3).
fish(576,192,3).
fish(1296,432,3).
fish(2916,972,3).
fish(6561,2187,3).
fish(7290,3645,2).
fish(3240,1620,2).
fish(1440,720,2).
fish(640,320,2).
fish(960,480,2).
fish(2160,1080,2).
fish(4860,2430,2).
fish(20250,10125,2).
fish(9000,4500,2).
fish(4000,2000,2).
fish(6000,3000,2).
fish(13500,6750,2).
fish(56250,28125,2).
fish(25000,12500,2).
fish(37500,18750,2).
fish(62500,31250,2).
fish(93750,46875,2).
fish(22500,11250,2).
fish(10000,5000,2).
fish(15000,7500,2).
fish(33750,16875,2).
fish(8100,4050,2).
fish(3600,1800,2).
fish(1600,800,2).
fish(2400,1200,2).
fish(5400,2700,2).
fish(12150,6075,2).
fish(2916,1458,2).
fish(1296,648,2).
fish(576,288,2).
fish(256,128,2).
fish(384,192,2).
fish(864,432,2).
fish(1944,972,2).
fish(4374,2187,2).
fish(18225,3645,5).
fish(8100,1620,5).
fish(3600,720,5).
fish(1600,320,5).
fish(2400,480,5).
fish(5400,1080,5).
fish(12150,2430,5).
fish(50625,10125,5).
fish(22500,4500,5).
fish(10000,2000,5).
fish(15000,3000,5).
fish(33750,6750,5).
fish(62500,12500,5).
fish(93750,18750,5).
fish(56250,11250,5).
fish(25000,5000,5).
fish(37500,7500,5).
fish(84375,16875,5).
fish(20250,4050,5).
fish(9000,1800,5).
fish(4000,800,5).
fish(6000,1200,5).
fish(13500,2700,5).
fish(30375,6075,5).
fish(7290,1458,5).
fish(3240,648,5).
fish(1440,288,5).
fish(640,128,5).
fish(960,192,5).
fish(2160,432,5).
fish(4860,972,5).
fish(10935,2187,5).
fish(32805,10935,3).
fish(14580,4860,3).
fish(6480,2160,3).
fish(2880,960,3).
fish(1920,640,3).
fish(4320,1440,3).
fish(9720,3240,3).
fish(21870,7290,3).
fish(91125,30375,3).
fish(40500,13500,3).
fish(18000,6000,3).
fish(12000,4000,3).
fish(27000,9000,3).
fish(60750,20250,3).
fish(75000,25000,3).
fish(45000,15000,3).
fish(30000,10000,3).
fish(67500,22500,3).
fish(36450,12150,3).
fish(16200,5400,3).
fish(7200,2400,3).
fish(4800,1600,3).
fish(10800,3600,3).
fish(24300,8100,3).
fish(54675,18225,3).
fish(13122,4374,3).
fish(5832,1944,3).
fish(2592,864,3).
fish(1152,384,3).
fish(768,256,3).
fish(1728,576,3).
fish(3888,1296,3).
fish(8748,2916,3).
fish(19683,6561,3).
fish(21870,10935,2).
fish(9720,4860,2).
fish(4320,2160,2).
fish(1920,960,2).
fish(1280,640,2).
fish(2880,1440,2).
fish(6480,3240,2).
fish(14580,7290,2).
fish(60750,30375,2).
fish(27000,13500,2).
fish(12000,6000,2).
fish(8000,4000,2).
fish(18000,9000,2).
fish(40500,20250,2).
fish(75000,37500,2).
fish(50000,25000,2).
fish(67500,33750,2).
fish(30000,15000,2).
fish(20000,10000,2).
fish(45000,22500,2).
fish(24300,12150,2).
fish(10800,5400,2).
fish(4800,2400,2).
fish(3200,1600,2).
fish(7200,3600,2).
fish(16200,8100,2).
fish(36450,18225,2).
fish(8748,4374,2).
fish(3888,1944,2).
fish(1728,864,2).
fish(768,384,2).
fish(512,256,2).
fish(1152,576,2).
fish(2592,1296,2).
fish(5832,2916,2).
fish(13122,6561,2).
fish(54675,10935,5).
fish(24300,4860,5).
fish(10800,2160,5).
fish(4800,960,5).
fish(3200,640,5).
fish(7200,1440,5).
fish(16200,3240,5).
fish(36450,7290,5).
fish(67500,13500,5).
fish(30000,6000,5).
fish(20000,4000,5).
fish(45000,9000,5).
fish(75000,15000,5).
fish(50000,10000,5).
fish(60750,12150,5).
fish(27000,5400,5).
fish(12000,2400,5).
fish(8000,1600,5).
fish(18000,3600,5).
fish(40500,8100,5).
fish(91125,18225,5).
fish(21870,4374,5).
fish(9720,1944,5).
fish(4320,864,5).
fish(1920,384,5).
fish(1280,256,5).
fish(2880,576,5).
fish(6480,1296,5).
fish(14580,2916,5).
fish(32805,6561,5).
fish(98415,32805,3).
fish(43740,14580,3).
fish(19440,6480,3).
fish(8640,2880,3).
fish(3840,1280,3).
fish(5760,1920,3).
fish(12960,4320,3).
fish(29160,9720,3).
fish(65610,21870,3).
fish(54000,18000,3).
fish(24000,8000,3).
fish(36000,12000,3).
fish(81000,27000,3).
fish(60000,20000,3).
fish(90000,30000,3).
fish(48600,16200,3).
fish(21600,7200,3).
fish(9600,3200,3).
fish(14400,4800,3).
fish(32400,10800,3).
fish(72900,24300,3).
fish(39366,13122,3).
fish(17496,5832,3).
fish(7776,2592,3).
fish(3456,1152,3).
fish(1536,512,3).
fish(2304,768,3).
fish(5184,1728,3).
fish(11664,3888,3).
fish(26244,8748,3).
fish(59049,19683,3).
fish(65610,32805,2).
fish(29160,14580,2).
fish(12960,6480,2).
fish(5760,2880,2).
fish(2560,1280,2).
fish(3840,1920,2).
fish(8640,4320,2).
fish(19440,9720,2).
fish(43740,21870,2).
fish(81000,40500,2).
fish(36000,18000,2).
fish(16000,8000,2).
fish(24000,12000,2).
fish(54000,27000,2).
fish(100000,50000,2).
fish(90000,45000,2).
fish(40000,20000,2).
fish(60000,30000,2).
fish(72900,36450,2).
fish(32400,16200,2).
fish(14400,7200,2).
fish(6400,3200,2).
fish(9600,4800,2).
fish(21600,10800,2).
fish(48600,24300,2).
fish(26244,13122,2).
fish(11664,5832,2).
fish(5184,2592,2).
fish(2304,1152,2).
fish(1024,512,2).
fish(1536,768,2).
fish(3456,1728,2).
fish(7776,3888,2).
fish(17496,8748,2).
fish(39366,19683,2).
fish(72900,14580,5).
fish(32400,6480,5).
fish(14400,2880,5).
fish(6400,1280,5).
fish(9600,1920,5).
fish(21600,4320,5).
fish(48600,9720,5).
fish(90000,18000,5).
fish(40000,8000,5).
fish(60000,12000,5).
fish(100000,20000,5).
fish(81000,16200,5).
fish(36000,7200,5).
fish(16000,3200,5).
fish(24000,4800,5).
fish(54000,10800,5).
fish(65610,13122,5).
fish(29160,5832,5).
fish(12960,2592,5).
fish(5760,1152,5).
fish(2560,512,5).
fish(3840,768,5).
fish(8640,1728,5).
fish(19440,3888,5).
fish(43740,8748,5).
fish(98415,19683,5).
fish(58320,19440,3).
fish(25920,8640,3).
fish(11520,3840,3).
fish(7680,2560,3).
fish(17280,5760,3).
fish(38880,12960,3).
fish(87480,29160,3).
fish(72000,24000,3).
fish(48000,16000,3).
fish(64800,21600,3).
fish(28800,9600,3).
fish(19200,6400,3).
fish(43200,14400,3).
fish(97200,32400,3).
fish(52488,17496,3).
fish(23328,7776,3).
fish(10368,3456,3).
fish(4608,1536,3).
fish(3072,1024,3).
fish(6912,2304,3).
fish(15552,5184,3).
fish(34992,11664,3).
fish(78732,26244,3).
fish(87480,43740,2).
fish(38880,19440,2).
fish(17280,8640,2).
fish(7680,3840,2).
fish(5120,2560,2).
fish(11520,5760,2).
fish(25920,12960,2).
fish(58320,29160,2).
fish(48000,24000,2).
fish(32000,16000,2).
fish(72000,36000,2).
fish(80000,40000,2).
fish(97200,48600,2).
fish(43200,21600,2).
fish(19200,9600,2).
fish(12800,6400,2).
fish(28800,14400,2).
fish(64800,32400,2).
fish(78732,39366,2).
fish(34992,17496,2).
fish(15552,7776,2).
fish(6912,3456,2).
fish(3072,1536,2).
fish(2048,1024,2).
fish(4608,2304,2).
fish(10368,5184,2).
fish(23328,11664,2).
fish(52488,26244,2).
fish(97200,19440,5).
fish(43200,8640,5).
fish(19200,3840,5).
fish(12800,2560,5).
fish(28800,5760,5).
fish(64800,12960,5).
fish(80000,16000,5).
fish(48000,9600,5).
fish(32000,6400,5).
fish(72000,14400,5).
fish(87480,17496,5).
fish(38880,7776,5).
fish(17280,3456,5).
fish(7680,1536,5).
fish(5120,1024,5).
fish(11520,2304,5).
fish(25920,5184,5).
fish(58320,11664,5).
fish(77760,25920,3).
fish(34560,11520,3).
fish(15360,5120,3).
fish(23040,7680,3).
fish(51840,17280,3).
fish(96000,32000,3).
fish(86400,28800,3).
fish(38400,12800,3).
fish(57600,19200,3).
fish(69984,23328,3).
fish(31104,10368,3).
fish(13824,4608,3).
fish(6144,2048,3).
fish(9216,3072,3).
fish(20736,6912,3).
fish(46656,15552,3).
fish(51840,25920,2).
fish(23040,11520,2).
fish(10240,5120,2).
fish(15360,7680,2).
fish(34560,17280,2).
fish(77760,38880,2).
fish(64000,32000,2).
fish(96000,48000,2).
fish(57600,28800,2).
fish(25600,12800,2).
fish(38400,19200,2).
fish(86400,43200,2).
fish(46656,23328,2).
fish(20736,10368,2).
fish(9216,4608,2).
fish(4096,2048,2).
fish(6144,3072,2).
fish(13824,6912,2).
fish(31104,15552,2).
fish(69984,34992,2).
fish(57600,11520,5).
fish(25600,5120,5).
fish(38400,7680,5).
fish(86400,17280,5).
fish(64000,12800,5).
fish(96000,19200,5).
fish(51840,10368,5).
fish(23040,4608,5).
fish(10240,2048,5).
fish(15360,3072,5).
fish(34560,6912,5).
fish(77760,15552,5).
fish(46080,15360,3).
fish(30720,10240,3).
fish(69120,23040,3).
fish(76800,25600,3).
fish(93312,31104,3).
fish(41472,13824,3).
fish(18432,6144,3).
fish(12288,4096,3).
fish(27648,9216,3).
fish(62208,20736,3).
fish(69120,34560,2).
fish(30720,15360,2).
fish(20480,10240,2).
fish(46080,23040,2).
fish(76800,38400,2).
fish(51200,25600,2).
fish(62208,31104,2).
fish(27648,13824,2).
fish(12288,6144,2).
fish(8192,4096,2).
fish(18432,9216,2).
fish(41472,20736,2).
fish(93312,46656,2).
fish(76800,15360,5).
fish(51200,10240,5).
fish(69120,13824,5).
fish(30720,6144,5).
fish(20480,4096,5).
fish(46080,9216,5).
fish(61440,20480,3).
fish(92160,30720,3).
fish(55296,18432,3).
fish(24576,8192,3).
fish(36864,12288,3).
fish(82944,27648,3).
fish(92160,46080,2).
fish(40960,20480,2).
fish(61440,30720,2).
fish(82944,41472,2).
fish(36864,18432,2).
fish(16384,8192,2).
fish(24576,12288,2).
fish(55296,27648,2).
fish(92160,18432,5).
fish(40960,8192,5).
fish(61440,12288,5).
fish(73728,24576,3).
fish(49152,16384,3).
fish(81920,40960,2).
fish(49152,24576,2).
fish(32768,16384,2).
fish(73728,36864,2).
fish(81920,16384,5).
fish(98304,32768,3).
fish(65536,32768,2).
fish(98304,49152,2).
